"﻿Parent Airline","Airline","Aircraft Type","Current","Future","Historic","Total","Orders","Unit Cost ($)","Total Cost (Current) ($)","Average Age"
"Allegiant Air","Allegiant Air","Airbus A320","16","","","16","15","98","1568","17.1"
"Allegiant Air","Allegiant Air","Boeing 757","4","","2","6","","73","290","23.6"
"Allegiant Air","Allegiant Air","McDonnell Douglas DC-9","","","3","3","","45","0",""
"Allegiant Air","Allegiant Air","McDonnell Douglas MD-80","48","","13","61","","45","2160","26.9"
"American Airlines","American Airlines","Airbus A300","","","35","35","","75","0",""
"American Airlines","American Airlines","Airbus A319","125","","","125","","90","11200","12.8"
"American Airlines","American Airlines","Airbus A320","51","","17","68","","98","4998","15.5"
"American Airlines","American Airlines","Airbus A321","197","12","","209","122","115","22635","4.9"
"American Airlines","American Airlines","Airbus A330","24","","","24","","240","5760","9.3"
"American Airlines","American Airlines","Airbus A350 XWB","","1","","1","22","312","0",""
"American Airlines","American Eagle","ATR 42/72","","","70","70","","22","0",""
"American Airlines","American Airlines","Boeing 717","","","29","29","","37","0",""
"American Airlines","American Airlines","Boeing 737","282","4","46","332","121","74","20862","7.7"
"American Airlines","American Airlines","Boeing 747","","","19","19","","316","0",""
"American Airlines","American Airlines","Boeing 757","51","","126","177","","73","3698","17.9"
"American Airlines","American Airlines","Boeing 767","33","","74","107","","187","6168","19.9"
"American Airlines","American Airlines","Boeing 777","67","","","67","","295","19735","12.1"
"American Airlines","American Airlines","Boeing 787 Dreamliner","20","6","","26","22","265","5302","1.2"
"American Airlines","American Airlines","British Aerospace BAe 146/Avro RJ","","","8","8","","14","0",""
"American Airlines","PSA Airlines","Canadair CRJ-100 Series","35","","","35","","32","1115","12.8"
"American Airlines","PSA Airlines","Canadair CRJ-700","26","35","","61","","41","1066","12.2"
"American Airlines","American Eagle","Canadair CRJ-700","45","","12","57","","41","1845","10.1"
"American Airlines","PSA Airlines","Canadair CRJ-900","54","","","54","","46","2484","1.5"
"American Airlines","American Eagle","Canadair CRJ-900","61","","","61","","46","2806","1.5"
"American Airlines","Piedmont Airlines","De Havilland Canada DHC-8 Dash 8","34","","75","109","","31","1064","26.1"
"American Airlines","PSA Airlines","Dornier Do-328","","","28","28","","8","0",""
"American Airlines","American Eagle","Embraer ERJ-145","97","","120","217","","20","1901","14"
"American Airlines","Piedmont Airlines","Embraer ERJ-145","10","","","10","","20","196","17.7"
"American Airlines","American Eagle","Embraer ERJ-170","94","2","","96","","39","3638","1.9"
"American Airlines","Envoy Air","Embraer ERJ-170","26","2","","28","","39","1006","0.6"
"American Airlines","American Airlines","Embraer ERJ-190","20","","","20","","46","924","9.1"
"American Airlines","American Airlines","Fokker F70 / F100","","","75","75","","20","0",""
"American Airlines","American Airlines","McDonnell Douglas DC-10","","","66","66","","145","0",""
"American Airlines","American Airlines","McDonnell Douglas DC-8","","","6","6","","6","0",""
"American Airlines","American Airlines","McDonnell Douglas MD-11","","","19","19","","175","0",""
"American Airlines","American Airlines","McDonnell Douglas MD-80","58","","325","383","","45","2610","22.2"
"American Airlines","American Airlines","McDonnell Douglas MD-90","","","5","5","","45","0",""
"American Airlines","American Eagle","Saab 340","","","52","52","","8","0",""
"Asiana Airlines","Asiana Airlines","Airbus A320","7","","4","11","","98","686","9.3"
"Asiana Airlines","Air Busan","Airbus A320","6","","","6","","98","588","10.9"
"Asiana Airlines","Asiana Airlines","Airbus A321","23","","17","40","27","115","2643","5.7"
"Asiana Airlines","Air Seoul","Airbus A321","3","","","3","","115","345","3.8"
"Asiana Airlines","Air Busan","Airbus A321","12","","","12","","115","1379","13.5"
"Asiana Airlines","Asiana Airlines","Airbus A330","15","","","15","","240","3600","7.3"
"Asiana Airlines","Asiana Airlines","Airbus A350","","1","","1","30","312","0",""
"Asiana Airlines","Asiana Airlines","Airbus A380","5","1","","6","1","433","2163","2"
"Asiana Airlines","Asiana Airlines","Boeing 737","","","34","34","","74","0",""
"Asiana Airlines","Air Busan","Boeing 737","","","7","7","","74","0",""
"Asiana Airlines","Asiana Airlines","Boeing 747","14","","4","18","","316","4421","20.9"
"Asiana Airlines","Asiana Airlines","Boeing 767","8","","11","19","","187","1495","20.3"
"Asiana Airlines","Asiana Airlines","Boeing 777","11","","2","13","","295","3240","10.1"
"Atlas Air","Atlas Air","Boeing 737","","","1","1","","74","0",""
"Atlas Air","Atlas Air","Boeing 747","32","","45","77","","316","10106","14.1"
"Atlas Air","Atlas Air","Boeing 757","","","1","1","","73","0",""
"Atlas Air","Atlas Air","Boeing 767","25","","1","26","19","187","4673","24.1"
"Avianca","AeroUnion","Airbus A300","5","","2","7","","75","375","35.8"
"Avianca","Avianca","Airbus A318","10","","","10","","66","663","11.8"
"Avianca","Avianca Brazil","Airbus A318","13","","2","15","","66","862","8.7"
"Avianca","Avianca","Airbus A319","30","","6","22","28","90","2688","3.9"
"Avianca","Avianca Brazil","Airbus A319","4","","","4","","90","358","6.1"
"Avianca","Avianca Ecuador","Airbus A319","6","","1","7","","90","538","12.8"
"Avianca","Avianca Peru","Airbus A319","5","","","1","","90","448","9.2"
"Avianca","Avianca El Salvador/TACA Airlines","Airbus A319","8","","3","11","","90","717","8.6"
"Avianca","Avianca","Airbus A320","40","1","3","44","111","98","3920","5"
"Avianca","Avianca Brazil","Airbus A320","29","3","1","33","61","98","2842","2.5"
"Avianca","Avianca Ecuador","Airbus A320","4","","","4","","98","392","6.8"
"Avianca","Avianca Peru","Airbus A320","5","","","1","","98","490","12.2"
"Avianca","Avianca El Salvador/TACA Airlines","Airbus A320","18","","1","19","","98","1764","8.9"
"Avianca","Avianca","Airbus A321","9","","","9","6","115","1034","2.1"
"Avianca","Avianca El Salvador/TACA Airlines","Airbus A321","6","","3","9","","115","689","9.3"
"Avianca","Avianca Brazil","Airbus A330","","2","2","4","6","115","0",""
"Avianca","Avianca","Airbus A330","8","","4","12","","240","1920","5.6"
"Avianca","Avianca Peru","Airbus A330","2","","","1","","240","480","5"
"Avianca","Avianca El Salvador/TACA Airlines","Airbus A330","1","","","1","","240","240",""
"Avianca","Avianca Cargo Colombia","Airbus A330","6","","","6","","240","1440","3.3"
"Avianca","Avianca","Airbus A350","","","","","10","312","0",""
"Avianca","Avianca Brazil","Airbus A350","","","","","10","312","0",""
"Avianca","Avianca","ATR 42/72","9","","","9","","22","199","2.8"
"Avianca","Avianca Guatemala","ATR 42/72","4","","","4","","22","88","2.2"
"Avianca","Avianca Honduras","ATR 42/72","2","","5","7","","22","44","2.2"
"Avianca","Avianca","Boeing 727","","","1","1","","4","0",""
"Avianca","Avianca","Boeing 737","","","2","2","","74","0",""
"Avianca","Avianca","Boeing 747","","","7","7","","316","0",""
"Avianca","Avianca","Boeing 757","","","21","21","","73","0",""
"Avianca","Avianca","Boeing 767","","","10","10","","187","0",""
"Avianca","AeroUnion","Boeing 767","2","","","2","","187","374","29.5"
"Avianca","Avianca Cargo Colombia","Boeing 767","","","5","5","","187","0",""
"Avianca","Avianca","Boeing 787 Dreamliner","9","2","","11","6","265","2386","1.5"
"Avianca","Avianca El Salvador/TACA Airlines","Embraer E-190","8","","2","10","","46","370","7.2"
"Avianca","Avianca","Fokker F50 / F60","","","10","10","","18","0",""
"Avianca","Avianca","Fokker F70 / F100","","","15","15","","20","0",""
"Avianca","Avianca Brazil","Fokker F70 / F100","","","14","14","","20","0",""
"Avianca","Avianca","McDonnell Douglas MD-11","","","1","1","","175","0",""
"Avianca","Avianca","McDonnell Douglas MD-80","","","18","18","","45","0",""
"Azul","Azul","Airbus A320","4","4","","8","59","98","392","0.1"
"Azul","Azul","Airbus A330","5","","2","7","","240","1200","14.1"
"Azul","Azul","Airbus A350 XWB","","1","","1","5","312","0",""
"Azul","Azul","ATR 42/72","40","2","42","84","","22","884","3.5"
"Azul","Azul","Embraer ERJ-170","","","5","5","","39","0",""
"Azul","Azul","Embraer ERJ-190","74","","14","88","33","46","3419","4.9"
"Cathay Pacific","Air Hong Kong","Airbus A300","10","","2","12","","75","750","14"
"Cathay Pacific","Cathay Dragon","Airbus A320","15","","","15","","98","1470","11.6"
"Cathay Pacific","Cathay Dragon","Airbus A321","8","","","8","","115","919","14.2"
"Cathay Pacific","Cathay Pacific","Airbus A330","42","","13","55","","240","10080","8.9"
"Cathay Pacific","Cathay Dragon","Airbus A330","19","","","19","7","240","4560","16.9"
"Cathay Pacific","Cathay Pacific","Airbus A340","4","","21","25","","216","862","19"
"Cathay Pacific","Cathay Pacific","Airbus A350 XWB","9","6","","15","39","312","2808","0.3"
"Cathay Pacific","Cathay Pacific","Boeing 747","21","","63","84","","316","6632","5.9"
"Cathay Pacific","Air Hong Kong","Boeing 747","3","","8","11","","316","947","25.8"
"Cathay Pacific","Cathay Pacific","Boeing 777","70","","","70","","295","20619","8"
"Cebu Pacific Air","Cebu Pacific Air","Airbus A319","5","","5","10","","90","448","10.5"
"Cebu Pacific Air","Cebu Pacific Air","Airbus A320","36","","6","42","","98","3528","4.4"
"Cebu Pacific Air","Cebu Pacific Air","Airbus A321","","","","","32","115","0",""
"Cebu Pacific Air","Cebu Pacific Air","Airbus A330","6","1","","7","1","240","1440","2.8"
"Cebu Pacific Air","Cebu Pacific Air","ATR 42/72","10","","1","11","14","22","221","6.4"
"Cebu Pacific Air","Cebu Pacific Air","Boeing 757","","","3","3","","73","0",""
"Cebu Pacific Air","Cebu Pacific Air","McDonnell Douglas DC-9","","","19","19","","45","0",""
"China Airlines","China Airlines","Airbus A300","","","20","20","","75","0",""
"China Airlines","Tigerair Taiwan","Airbus A320","9","1","","10","3","98","882","2.3"
"China Airlines","China Airlines","Airbus A320","","","2","2","","98","0",""
"China Airlines","China Airlines","Airbus A330","24","","2","26","","240","5760","9"
"China Airlines","China Airlines","Airbus A340","4","","3","7","","216","862","14.9"
"China Airlines","Mandarin Airlines","Airbus A340","","","1","1","","216","0",""
"China Airlines","China Airlines","Airbus A350 XWB","2","4","","6","12","312","624","0.2"
"China Airlines","China Airlines","Boeing 737","22","1","17","40","2","74","1628","8.9"
"China Airlines","Mandarin Airlines","Boeing 737","1","","5","6","1","74","74","1.3"
"China Airlines","China Airlines","Boeing 747","25","","35","60","","316","7895","13.6"
"China Airlines","Mandarin Airlines","Boeing 747","","","5","5","","316","0",""
"China Airlines","China Airlines","Boeing 767","","","2","2","","187","0",""
"China Airlines","China Airlines","Boeing 777","10","","","10","","295","2946","1.6"
"China Airlines","Mandarin Airlines","Embraer ERJ-190","6","","2","8","","46","277","8.8"
"China Airlines","Mandarin Airlines","Fokker F50 / F60","","","7","7","","18","0",""
"China Airlines","Mandarin Airlines","Fokker F70 / F100","","","6","6","","20","0",""
"China Airlines","China Airlines","McDonnell Douglas MD-11","","","5","5","","175","0",""
"China Airlines","Mandarin Airlines","McDonnell Douglas MD-11","","","5","5","","175","0",""
"China Airlines","Mandarin Airlines","Saab 340","","","1","1","","8","0",""
"China Eastern Airlines","China Eastern Airlines","Airbus A300","","","13","13","","75","0",""
"China Eastern Airlines","China Eastern Airlines","Airbus A310","","","5","5","","75","0",""
"China Eastern Airlines","China Eastern Airlines","Airbus A319","36","","9","45","","90","3226","4.1"
"China Eastern Airlines","China United Airlines","Airbus A319","","","3","3","","90","0",""
"China Eastern Airlines","China Eastern Airlines","Airbus A320","165","2","24","191","130","98","16170","6.8"
"China Eastern Airlines","China Eastern Airlines","Airbus A321","64","3","","67","2","115","7354","4.2"
"China Eastern Airlines","Shanghai Airlines","Airbus A321","","","4","4","","115","0",""
"China Eastern Airlines","China Eastern Airlines","Airbus A330","45","","6","51","","240","10800","5.6"
"China Eastern Airlines","Shanghai Airlines","Airbus A330","6","","","6","","240","1440","7"
"China Eastern Airlines","China Eastern Airlines","Airbus A340","","","10","10","","216","0",""
"China Eastern Airlines","China Eastern Airlines","Airbus A350","","","","","20","312","0",""
"China Eastern Airlines","China Eastern Airlines","Boeing 737","125","1","47","173","41","74","9248","4.9"
"China Eastern Airlines","China United Airlines","Boeing 737","32","1","11","44","","74","2367","5.4"
"China Eastern Airlines","Shanghai Airlines","Boeing 737","75","","21","96","","74","5549","5"
"China Eastern Airlines","China Cargo Airlines","Boeing 747","3","","2","5","","316","947","13.2"
"China Eastern Airlines","China Cargo Airlines","Boeing 757","","","2","2","","73","0",""
"China Eastern Airlines","Shanghai Airlines","Boeing 757","","","13","13","","73","0",""
"China Eastern Airlines","China Eastern Airlines","Boeing 767","","","3","3","","187","0",""
"China Eastern Airlines","Shanghai Airlines","Boeing 767","6","","1","7","","187","1121","15.7"
"China Eastern Airlines","China Eastern Airlines","Boeing 777","16","","","16","5","295","4713","1.2"
"China Eastern Airlines","China Cargo Airlines","Boeing 777","6","","","6","","295","1767","6.2"
"China Eastern Airlines","China Eastern Airlines","Boeing 787","","","","","15","265","0",""
"China Eastern Airlines","China Eastern Airlines","British Aerospace BAe 146/Avro RJ","","","13","13","","14","0",""
"China Eastern Airlines","China Eastern Airlines","Canadair CRJ-100 Series","","","5","5","","32","0",""
"China Eastern Airlines","Shanghai Airlines","Canadair CRJ-100 Series","","","5","5","","32","0",""
"China Eastern Airlines","China United Airlines","Comac ARJ21","","","","","5","30","0",""
"China Eastern Airlines","China Eastern Airlines","COMAC C919","","","","","20","68","0",""
"China Eastern Airlines","China Eastern Airlines","Embraer ERJ-145","","","10","10","","20","0",""
"China Eastern Airlines","China Eastern Airlines","Fokker F70 / F100","","","10","10","","20","0",""
"China Eastern Airlines","China Eastern Airlines","McDonnell Douglas MD-11","","","6","6","","175","0",""
"China Eastern Airlines","China Cargo Airlines","McDonnell Douglas MD-11","","","9","9","","175","0",""
"China Eastern Airlines","Shanghai Airlines","McDonnell Douglas MD-11","","","4","4","","175","0",""
"China Eastern Airlines","China Eastern Airlines","McDonnell Douglas MD-80","","","16","16","","45","0",""
"China Eastern Airlines","China Eastern Airlines","McDonnell Douglas MD-90","","","9","9","","45","0",""
"China Southern Airlines","China Southern Airlines","Airbus A300","","","6","6","","75","0",""
"China Southern Airlines","China Southern Airlines","Airbus A319","34","","7","41","","90","3046","10.6"
"China Southern Airlines","China Southern Airlines","Airbus A320","123","8","14","145","25","98","12054","7.3"
"China Southern Airlines","China Southern Airlines","Airbus A321","88","5","","93","27","115","10111","6.5"
"China Southern Airlines","China Southern Airlines","Airbus A330","38","1","","39","13","240","9120","5.8"
"China Southern Airlines","China Southern Airlines","Airbus A380","5","","","5","17","433","2163","5.1"
"China Southern Airlines","China Southern Airlines","ATR 42/72","","","5","5","","22","0",""
"China Southern Airlines","China Southern Airlines","Boeing 737","169","","65","234","1","74","12503","6.8"
"China Southern Airlines","China Southern Airlines","Boeing 747","2","","","2","","316","632","14.4"
"China Southern Airlines","China Southern Airlines","Boeing 757","7","","24","31","","73","508","17.8"
"China Southern Airlines","China Southern Airlines","Boeing 767","","","6","6","","187","0",""
"China Southern Airlines","China Southern Airlines","Boeing 777","26","","6","32","","295","7658","5.9"
"China Southern Airlines","China Southern Airlines","Boeing 787 Dreamliner","10","","","10","12","265","2651","3.3"
"China Southern Airlines","China Southern Airlines","COMAC C919","","","","","20","68","0",""
"China Southern Airlines","China Southern Airlines","Embraer ERJ-145","","","6","6","","20","0",""
"China Southern Airlines","China Southern Airlines","Embraer ERJ-190","20","","","20","","46","924","4.7"
"China Southern Airlines","China Southern Airlines","McDonnell Douglas MD-80","","","23","23","","45","0",""
"China Southern Airlines","China Southern Airlines","McDonnell Douglas MD-90","","","13","13","","45","0",""
"Copa Airlines","Copa Airlines","Boeing 737","76","1","33","110","65","74","5622","6.3"
"Copa Airlines","Copa Airlines Colombia","Boeing 737","1","","","1","","74","74","17.2"
"Copa Airlines","Copa Airlines","Embraer ERJ-190","12","","3","15","","46","554","9.7"
"Copa Airlines","Copa Airlines Colombia","Embraer ERJ-190","9","","5","14","","46","416","9.2"
"Delta Airlines","Delta Airlines","Airbus A310","","","30","30","","75","0",""
"Delta Airlines","Delta Airlines","Airbus A319","57","","","57","","90","5107","14.8"
"Delta Airlines","Delta Airlines","Airbus A320","69","","","69","","98","6762","21.8"
"Delta Airlines","Delta Airlines","Airbus A321","14","6","","20","67","115","1609","0.4"
"Delta Airlines","Delta Airlines","Airbus A330","40","2","","42","27","240","9600","9.4"
"Delta Airlines","Delta Airlines","Airbus A350 XWB","","1","","1","25","312","0",""
"Delta Airlines","Delta Airlines","Boeing 717","91","","","91","","37","3367","15.2"
"Delta Airlines","Delta Airlines","Boeing 727","","","7","7","","4","0",""
"Delta Airlines","Delta Airlines","Boeing 737","154","9","106","269","56","74","11393","9.2"
"Delta Airlines","Delta Airlines","Boeing 747","7","","29","36","","316","2211","25.5"
"Delta Airlines","Delta Airlines","Boeing 757","128","","78","206","","73","9280","19.5"
"Delta Airlines","Delta Airlines","Boeing 767","85","","39","124","","187","15887","19.8"
"Delta Airlines","Delta Airlines","Boeing 777","18","","1","19","","295","5302","11.9"
"Delta Airlines","Delta Airlines","Boeing 787 Dreamliner","","","","","18","265","0",""
"Delta Airlines","Delta Airlines","Bombardier CS100","","","","","75","72","0",""
"Delta Airlines","Endeavor Air","Canadair CRJ-100 Series","53","","87","140","","32","1688","12.7"
"Delta Airlines","Endeavor Air","Canadair CRJ-900","81","","1","82","","46","3726","5.9"
"Delta Airlines","Delta Airlines","Embraer ERJ-190","11","","2","13","","46","508","10.2"
"Delta Airlines","Delta Airlines","McDonnell Douglas DC-10","","","14","14","","145","0",""
"Delta Airlines","Delta Airlines","McDonnell Douglas DC-8","","","42","42","","6","0",""
"Delta Airlines","Delta Airlines","McDonnell Douglas DC-9","","","162","162","","45","0",""
"Delta Airlines","Delta Airlines","McDonnell Douglas MD-11","","","17","17","","175","0",""
"Delta Airlines","Delta Airlines","McDonnell Douglas MD-80","116","","50","166","","45","5220","26.4"
"Delta Airlines","Delta Airlines","McDonnell Douglas MD-90","65","","12","77","","45","2925","19.8"
"easyJet","easyJet","Airbus A319","133","","39","172","","90","11917","9.6"
"easyJet","easyJet - Switzerland","Airbus A319","11","","22","33","","90","986","5.5"
"easyJet","easyJet","Airbus A320","101","3","24","128","165","98","9898","3.6"
"easyJet","easyJet - Switzerland","Airbus A320","15","","","15","","98","1470","5"
"easyJet","easyJet","Airbus A321","","","8","8","","115","0",""
"easyJet","easyJet","Boeing 737","","","84","84","","74","0",""
"easyJet","easyJet - Switzerland","Boeing 737","","","8","8","","74","0",""
"easyJet","easyJet","Boeing 757","","","4","4","","73","0",""
"EgyptAir","EgyptAir Cargo","Airbus A300","3","","1","4","","75","225","28.6"
"EgyptAir","EgyptAir","Airbus A300","","","21","21","","75","0",""
"EgyptAir","EgyptAir","Airbus A320","6","","7","13","","98","588","17.1"
"EgyptAir","Air Cairo","Airbus A320","6","","1","7","","98","588","9.1"
"EgyptAir","EgyptAir Cargo","Airbus A320","","","","","2","98","0",""
"EgyptAir","EgyptAir","Airbus A321","4","","","4","","115","460","19.4"
"EgyptAir","Air Cairo","Airbus A321","","","2","2","","115","0",""
"EgyptAir","EgyptAir","Airbus A330","11","","","11","","240","2640","9.5"
"EgyptAir","EgyptAir Cargo","Airbus A330","","","","","2","240","0",""
"EgyptAir","EgyptAir","Airbus A340","","","4","4","","216","0",""
"EgyptAir","EgyptAir","ATR 42/72","","","2","2","","22","0",""
"EgyptAir","EgyptAir","Boeing 737","22","","15","37","7","74","1628","7.7"
"EgyptAir","EgyptAir","Boeing 747","","","10","10","","316","0",""
"EgyptAir","EgyptAir","Boeing 767","","","7","7","","187","0",""
"EgyptAir","EgyptAir","Boeing 777","9","","2","11","","295","2651","9.7"
"EgyptAir","EgyptAir Express","Embraer ERJ-170","12","","","12","","39","464","8.7"
"EgyptAir","EgyptAir","McDonnell Douglas DC-8","","","7","7","","6","0",""
"EgyptAir","EgyptAir","McDonnell Douglas DC-9","","","2","2","","45","0",""
"El Al","El Al","Boeing 737","23","","6","29","","74","1702","9.1"
"El Al","Sun d'Or","Boeing 737","2","","","2","","74","148","17.4"
"El Al","Up","Boeing 737","4","","","4","","74","296","12.9"
"El Al","El Al","Boeing 747","7","","19","26","","316","2211","21.4"
"El Al","El Al","Boeing 757","","","10","10","","73","0",""
"El Al","Sun d'Or","Boeing 757","","","6","6","","73","0",""
"El Al","El Al","Boeing 767","7","","6","13","","187","1308","21.1"
"El Al","El Al","Boeing 777","6","","","6","","295","1767","13.5"
"El Al","El Al","Boeing 787","","","","16","","265","0",""
"El Al","El Al","McDonnell Douglas DC-8","","","1","1","","6","0",""
"El Al","El Al","McDonnell Douglas MD-11","","","1","1","","175","0",""
"Emirates","Emirates","Airbus A300","","","7","7","","75","0",""
"Emirates","Emirates","Airbus A310","","","13","13","","75","0",""
"Emirates","Emirates","Airbus A319","1","","","1","","90","90","5.3"
"Emirates","Emirates","Airbus A330","","","29","29","","115","0",""
"Emirates","Emirates","Airbus A340","","","18","18","","216","0",""
"Emirates","Emirates","Airbus A380","87","15","","102","54","433","37636","3.7"
"Emirates","Emirates","Boeing 737","","","1","1","","74","0",""
"Emirates","Emirates","Boeing 747","2","","4","6","","316","632","9.2"
"Emirates","Emirates","Boeing 777","159","5","10","174","177","295","46833","6.4"
"Ethiopian Airlines","Ethiopian Airlines","Airbus A350 XWB","2","2","","4","12","312","624","0.4"
"Ethiopian Airlines","Ethiopian Airlines","ATR 42/72","","","3","3","","22","0",""
"Ethiopian Airlines","Ethiopian Airlines","Boeing 737","21","","9","30","30","74","1554","6.5"
"Ethiopian Airlines","Ethiopian Airlines","Boeing 757","3","","9","12","","73","218","23.2"
"Ethiopian Airlines","Ethiopian Airlines","Boeing 767","6","","12","18","","187","1121","14.4"
"Ethiopian Airlines","Ethiopian Airlines","Boeing 777","16","","","16","","295","4713","3.6"
"Ethiopian Airlines","Ethiopian Airlines","Boeing 787 Dreamliner","16","3","","19","7","265","4242","2.5"
"Ethiopian Airlines","Ethiopian Airlines","De Havilland Canada DHC-8 Dash 8","18","","","18","2","31","563","4.7"
"Ethiopian Airlines","Ethiopian Airlines","Fokker F50 / F60","","","5","5","","18","0",""
"Ethiopian Airlines","Ethiopian Airlines","McDonnell Douglas MD-11","","","3","3","","175","0",""
"Etihad Airways","Etihad Airways","Airbus A300","","","3","3","","75","0",""
"Etihad Airways","Etihad Airways","Airbus A310","","","1","1","","75","0",""
"Etihad Airways","Etihad Airways","Airbus A319","2","","2","4","","90","179","13.7"
"Etihad Airways","Etihad Airways","Airbus A320","23","","4","27","10","98","2254","6.6"
"Etihad Airways","Etihad Airways","Airbus A321","10","","","10","15","115","1149","1.8"
"Etihad Airways","Etihad Airways","Airbus A330","30","1","11","42","6","240","7200","8.1"
"Etihad Airways","Etihad Airways","Airbus A340","10","","3","13","","216","2156","9"
"Etihad Airways","Etihad Airways","Airbus A350 XWB","","1","","1","65","312","0",""
"Etihad Airways","Etihad Airways","Airbus A380","8","1","","9","2","433","3461","1.7"
"Etihad Airways","Etihad Airways","Boeing 747","1","","1","2","","316","316","17.7"
"Etihad Airways","Etihad Airways","Boeing 767","","","2","2","","187","0",""
"Etihad Airways","Etihad Airways","Boeing 777","30","","5","35","30","295","8837","6.2"
"Etihad Airways","Etihad Airways","Boeing 787 Dreamliner","10","2","","12","62","265","2651","1.1"
"EVA Air","EVA Air","Airbus A320","","","1","1","","98","0",""
"EVA Air","EVA Air","Airbus A321","22","","2","24","","115","2528","2"
"EVA Air","Uni Air","Airbus A321","2","","","2","","115","230","2.7"
"EVA Air","EVA Air","Airbus A330","10","2","6","18","4","240","2400","7.5"
"EVA Air","EVA Air","ATR 42/72","2","","","2","","22","44","0.3"
"EVA Air","Uni Air","ATR 42/72","13","","","13","","22","287","3"
"EVA Air","EVA Air","Boeing 747","9","","10","19","","316","2842","19"
"EVA Air","EVA Air","Boeing 757","","","2","2","","73","0",""
"EVA Air","Uni Air","Boeing 757","","","1","1","","73","0",""
"EVA Air","EVA Air","Boeing 767","","","9","9","","187","0",""
"EVA Air","EVA Air","Boeing 777","29","","","29","12","295","8542","5.3"
"EVA Air","EVA Air","Boeing 787","","","","","24","265","0",""
"EVA Air","Uni Air","British Aerospace BAe 146/Avro RJ","","","4","4","","14","0",""
"EVA Air","Uni Air","De Havilland Canada DHC-8 Dash 8","","","14","14","","7","0",""
"EVA Air","EVA Air","McDonnell Douglas MD-11","","","12","12","","175","0",""
"EVA Air","EVA Air","McDonnell Douglas MD-90","","","7","7","","45","0",""
"EVA Air","Uni Air","McDonnell Douglas MD-90","","","14","14","","45","0",""
"FedEx Express","FedEx Express","Airbus A300","68","","3","71","","75","5100","21.4"
"FedEx Express","FedEx Express","Airbus A310","8","","62","70","","75","600","28.6"
"FedEx Express","FedEx Feeder Fleet","ATR 42-300F/-320F","26","","","","","20","507",""
"FedEx Express","FedEx Express","ATR 42/72","45","","7","52","","22","995","25.2"
"FedEx Express","FedEx Feeder Fleet","ATR 72-200F","21","","","","","25","519",""
"FedEx Express","FedEx Express","Boeing 727","","","72","72","","4","0",""
"FedEx Express","FedEx Express","Boeing 737","","","5","5","","74","0",""
"FedEx Express","FedEx Express","Boeing 747","","","22","22","","316","0",""
"FedEx Express","FedEx Express","Boeing 757","119","","4","123","","73","8628","25"
"FedEx Express","FedEx Express","Boeing 767","42","19","","61","65","187","7850","2.6"
"FedEx Express","FedEx Express","Boeing 777","27","16","","43","16","295","7953","5.3"
"FedEx Express","FedEx Feeder Fleet","Cessna 208B Grand Caravan","241","","","","","3","610",""
"FedEx Express","FedEx Express","McDonnell Douglas DC-10","40","","52","92","","145","5800","39"
"FedEx Express","FedEx Express","McDonnell Douglas DC-8","","","6","6","","6","0",""
"FedEx Express","FedEx Express","McDonnell Douglas MD-11","59","","12","71","","175","10325","23.5"
"Finnair","Finnair","Airbus A300","","","2","2","","75","0",""
"Finnair","Finnair","Airbus A319","9","","2","11","","90","806","15.5"
"Finnair","Finnair","Airbus A320","10","","2","12","","98","980","14.4"
"Finnair","Finnair","Airbus A321","11","1","","12","8","115","1264","10"
"Finnair","Finnair","Airbus A330","8","","","8","","240","1920","7.2"
"Finnair","Finnair","Airbus A340","2","","5","7","","216","431","9"
"Finnair","Finnair","Airbus A350 XWB","7","2","","9","12","312","2184","0.9"
"Finnair","Finnair","ATR 42/72","","","15","15","","22","0",""
"Finnair","Finnair","Boeing 737","","","2","2","","74","0",""
"Finnair","Finnair","Boeing 757","","","7","7","","73","0",""
"Finnair","Nordic Regional Airlines","Embraer E-190","12","","","12","","46","554","7.6"
"Finnair","Finnair","Embraer ERJ-170","","","10","10","","39","0",""
"Finnair","Finnair","Embraer ERJ-190","12","","","12","","46","554","8.5"
"Finnair","Finnair","McDonnell Douglas DC-10","","","5","5","","145","0",""
"Finnair","Finnair","McDonnell Douglas DC-8","","","4","4","","6","0",""
"Finnair","Finnair","McDonnell Douglas DC-9","","","27","27","","45","0",""
"Finnair","Finnair","McDonnell Douglas MD-11","","","7","7","","175","0",""
"Finnair","Finnair","McDonnell Douglas MD-80","","","26","26","","45","0",""
"Finnair","Finnair","Saab 340","","","3","3","","8","0",""
"Flybe","Flybe","ATR 42/72","9","","","9","2","22","199","6.6"
"Flybe","Flybe","Boeing 737","","","4","4","","74","0",""
"Flybe","Flybe","British Aerospace BAe 146/Avro RJ","","","24","24","","14","0",""
"Flybe","Flybe","Canadair CRJ-100 Series","","","4","4","","32","0",""
"Flybe","Flybe","De Havilland Canada DHC-6 Twin Otter","1","","","1","","7","7","36.9"
"Flybe","Flybe","De Havilland Canada DHC-8 Dash 8","55","4","32","91","4","31","1722","9.6"
"Flybe","Flybe","Dornier Do-328","2","","1","3","","8","16","20"
"Flybe","Flybe","Embraer ERJ-145","","","28","28","","20","0",""
"Flybe","Flybe","Embraer ERJ-170","11","","","11","4","39","426","4.7"
"Flybe","Flybe","Embraer ERJ-190","9","","5","14","","46","416","8.8"
